,English,Vietnamese,Tamil Translation,Spanish,Hindi,Malay,Arabic,Portuguese,Swahili,Russian,French,Filipino,Thai,INDONESIAN,Nepali,Bengali,Chinese (Simplified),Chinese (Traditional),Khmer
,en,vi,ta,es,hi,my,ar,pt,sw,ru,fr,fil,th,in,ne,bn,zh,zh,km
yes,YES,CÓ,ஆம்,SI,हाँ,YA,نعم,Sim,NDIO,ДА,OUI,OO,ใช่,YA,हुन्छ,হ্যা ,是,是,ព្រម
no,NO,KHÔNG,இல்லை,NO,नहीं,TIDAK,كلا,Não,LA,НЕТ,NON,HINDI,ไม่,TIDAK,हुँदैन,না ,否,否,មិនព្រម
<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->,<!-- Permissions page -->
timby_permissions_title,Grant TIMBY Permissions,Cho TIMBY quyền truy cập,TIMBY க்கு அனுமதி வழங்கு,Conceder permisos a TIMBY,टिम्बी को परमिशन दे,Izinkan TIMBY,منحه TIMBY أذن,Conceda autorização ao TIMBY,Kubalia TIMBY,Предоставьте разрешение TIMBY на,Accorder des autorisations à TIMBY.,Bigyans ng Mga Permiso ang TIMBY,อนุมัติคำขอของ TIMBY,Memberikan TIMBY Ijin,TIMBY लाई अनुमति दिनुहोस्,TIMBY কে অনুমোদন প্রদান করুন ,授予 TIMBY 权限,授予 TIMBY 許可權,ផ្តល់សិទ្ធិដល់TIMBY
timby_permissions_justification,"TIMBY needs camera,audio,GPS, storage and  phone permissions","TIMBY cần truy cập vào máy ảnh, âm thanh, GPS, kho lưu trữ và điện thoại","TIMBY க்கு கேமரா, ஆடியோ, ஜிபிஎஸ், சேமிப்பு மற்றும் தொலைபேசி அனுமதிகள் தேவை","TIMBY necesita Cámara,Audio,GPS,Almacenamiento &amp; Permisos de teléfono","टिम्बी को कैमरा, ऑडियो, जी पी एस, और फोन की में प्रवेश करने की परमिशन चाहिए","TIMBY memerlukan keizinan kamera, audio, GPS, storan dan telefon",TIMBY يحتاج كاميرا والصوت، GPS، التخزين، واعدادات الهاتف,"O TIMBY precisa de autorização para aceder à câmara, áudio, GPS, armazenamento e telefone","TIMBY inahitaji kibali kufikia Kamera, Sauti, GPS, Hifadhi, na Simu","TIMBY требуется разрешение на использование камеры, аудио, GPS, памяти и звонки","TIMBY besoins Appareil photo,audio,GPS,stockage &amp; autorisations de téléphone.","Kailangan ng TIMBY ng permiso sa camera, audio, GPS, storage at telepono","TIMBY ต้องการเข้าถึงกล้อง, เสียง, GPS, หน่วยความจำ และโทรศัพท์","TIMBI membutuhkan ijin mengakses kamera, audio, GPS, penyimpanan dan telepon","TIMBYलाई क्यामेरा, अडियो, जिपिएस, स्टोरेज र फोन अनुमतिहरु आवश्यक हुन्छ","TIMBY এর জন্য প্রয়োজন হবে ক্যামেরা, অডিও, জিপিএস, স্টোরেজ এবং আপনার ফোনের অনুমোদন  ",TIMBY 需要摄像头、音频、GPS、存储及电话权限,TIMBY 需要相機、音訊、GPS、存儲及電話許可權,TIMBYត្រូវការការអនុញ្ញាតប្រើកាមេរ៉ា សម្លេង ជីភីអេស អង្គផ្ទុកទិន្នន័យ និងទូរស័ព្ទ
<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->,<!-- Login page -->
login__username,"username
",Tên đăng nhập,யூசர்நேம்,usuario,उपयोगकर्ता का नाम,nama pengguna,اسم المستخدم,Nome de utilizador,Jina la mtumiaji,имя пользователя,identifiant,username,"ชื่อผู้ใช้งาน
",Username,युजरनेम,ইউজারনেম ,用户名,用戶名稱,"ឈ្មោះ​អ្នកប្រើប្រាស់
"
login__password,password,Mật khẩu,பாஸ்வர்ட்,contraseña,पासवर्ड,kata laluan,كلمة السر,Palavra-passe,Nenosiri,пароль,mot de passe,password,รหัสผ่าน,Password,पासवर्ड,পাসওয়ার্ড ,密码,密碼,ពាក្យសម្ងាត់
login,Login,Đăng nhập,உள்நுழைக,Ingreso,लॉग इन,Log masuk,الدخول,Entrar,Kuingia,логин,Se Connecter,Mag-login,เข้าสู่ระบบ,Login,लगिन,লগ ইন ,登录,登入,ចូល
provide_details,You need to provide both username and password!,Bạn cần cần điền tên người dùng và mật khẩu,நீங்கள் யூசர்நேம் மற்றும் பாஸ்வர்ட் இரண்டையும் வழங்க வேண்டும்!,Por favor proveer usuario y contraseña!,आपको उपयोगकर्ता नाम और पासवर्ड दोनों प्रदान करने की आवश्यकता है!,Anda perlu masukkan nama pengguna dan kata laluan!,توفرتحتاج إلى توفير اسم المستخدم و كلمة السر,Precisa de inserir o nome de utilizador e a palavra-passe!,Unahitaji kutoa jina la mtumiaji na nenosiri!,Вы должны предоставить имя пользователя и пароль,Vous devez fournir à la fois un identifiant et un mot de passe!,Kailangan mong ibigay ang parehong username at password!,คุณต้องใส่ทั้งชื่อผู้ใช้งานและรหัสผ่าน!,Anda perlu memberikan username dan password!,तपाईंले युजरनेम र पासवर्ड दुवै प्रदान गर्नुपर्छ !,আপনাকে ইউজারনেম এবং পাসওয়ার্ড উভয়ই সরবরাহ করতে হবে  ,你需要提供用户名和密码！,你需要提供用戶名稱和密碼！,អ្នកត្រូវផ្តល់ទាំងឈ្មោះអ្នកប្រើប្រាស់ និងពាក្យសម្ងាត់!
provide_terms,You must agree to the terms and conditions to continue,Bạn cần chấp nhận các điều khoản và điều kiện để tiếp tục,தொடர்வதற்கு நீங்கள் விதிமுறைகளையும் நிபந்தனைகளையும் ஏற்க வேண்டும்,"Debe estar de acuerdo con los Terminos de Uso, y Politicas de Privacidad para poder contenuar",आगे बढ़ने के लिए नियम और शर्तों से सहमत होना होगा,Anda mesti bersetuju dengan terma dan syarat untuk meneruskan,يجب الموافقة على البنود والشروط للمتابعة,Tem de concordar com os Termos e condições para continuar,"Ili kuendelea, lazima ukubaliane na sheria na masharti",Вы должны принять условия и положения для продолжения,>Vous devez accepter les regles et conditions pour continuer,Kailangan mong sumang-ayon sa mga tuntunin at kondisyon upang magpatuloy,คุณจำเป็นต้องยอมรับข้อตกลงและเงื่อนไขเพื่อดำเนินการต่อ,You must agree to the terms and conditions to continue,जारी गर्न तपाईंले नियम र शर्तहरु प्रदान गर्नैपर्छ,চালিয়ে যেতে হলে আপনাকে অবশ্যই শর্তাবলী মেনে নিতে হবে ,你必须同意条款及条件，才能继续进行,你必須同意條款及條件，才能繼續進行,អ្នកត្រូវយល់ព្រមនឹងលក្ខខណ្ឌដើម្បីបន្ត
attempting_login,Attempting login..,Đang đang nhập,உள்நுழைய முயற்சி…,Ingresando al programa..,लॉगइन का प्रयास चल रहा है,Cuba melog masuk…,جار محاولة تسجيل الدخول,A tentar entrar…,Kujaribu kuingia..,Попытка авторизации,Connexion en cours..,Sinusubukang mag-login…,กำลังเข้าสู่ระบบ..,Proses Untuk Masuk,लगिन प्रयत्न गर्दै...,লগ ইন প্রচেষ্টা ,正在登录...,正在登入...,ព្យាយាមចូល..
incorrect_details,Incorrect username and/or password!,Sai tên người dùng và/hoặc mật khẩu,தவறான யூசர்நேம் மற்றும் / அல்லது பாஸ்வர்ட்!,Nombre de usuario y/o contraseña incorrecta!,गलत उपयोगकर्ता नाम और / या पासवर्ड!,Nama pengguna dan/atau kata laluan salah!,اسم المستخدم وكلمه السر غير صحيحه,Nome de utilizador e/ou palavra-passe incorrectos!,Kusawazishwa kwa nenosiri si sahihi!,Неправильное имя пользователя и/или пароль,Nom d\'utilisateur et/ou mot de passe erroné!,Maling username at/o password!,"ชื่อผู้ใช้งาน และ/หรือ รหัสผ่านไม่ถูกต้อง!
",username dan/atau password salah!,गलत युजरनेम र/वा पासवर्ड !,ভুল ইউজারনেম এবং/অথবা ভুল পাসওয়ার্ড ,用户名和/或密码不正确！,用戶名稱和/或密碼不正確！,ឈ្មោះអ្នកប្រើប្រាស់ និង/ឬលេខសម្ងាត់មិនត្រឹមត្រូវ!
details_not_set,Username and/or password not set!,Tên người dùng và/hoặc mật khẩu chưa được thiết lập,யூசர்நேம் அல்லது பாஸ்வர்ட் அமைக்கப்படவில்லை!,Nombre de usuario y/o contraseña no establecida!,उपयोगकर्ता नाम और / या पासवर्ड सेट नहीं है!,Nama pengguna dan/atau kata laluan tidak ditetapkan!,اسم المستخدم وكلمه السر غير مضبوط,Nome de utilizador e/ou palavra-passe não registado!,Jinalamtumiaji na/au nenosiri halijapangwa,Имя пользователя и/или пароль не введены,Nom d\'utilisateur et/ou mot de passe manquant!,Hindi nai-set ang username at/o password!,"ชื่อผู้ใช้งาน และ/หรือ รหัสผ่าน ยังไม่สมบูรณ์
",Username dan/atau password tidak sesuai!,युजरनेम र/वा पासवर्ड सेट भएन !,ইউজারনেম এবং/অথবা পাসওয়ার্ড আগে থেকে সেট করা হয়নি ,尚未设置用户名及/或密码!,尚未設定用戶名稱及/或密碼!,មិនបានកំណត់ឈ្មោះអ្នកប្រើប្រាស់ និង/ឬពាក្យសម្ងាត់!
incorrect_pswd,Incorrect password,Sai mật khẩu,தவறான பாஸ்வர்ட்,Contraseña incorrecta,गलत पासवर्ड,Kata laluan salah,الرقم السري غير فعال,Palavra-passe incorrecta,Nenosiri sio sahih,Неправильный пароль,Mot de passe erroné,Maling password,รหัสผ่านไม่ถูกต้อง,Password salah,गलत पासवर्ड,ভুল পাসওয়ার্ড ,密码错误,密碼錯誤,ពាក្យសម្ងាត់មិនត្រឹមត្រូវ
unexpected_server_error,Unexpected server error!,Lỗi máy chủ,எதிர்பாராத சர்வர் பிழை!,Error inesperado del servidor!,सर्वर में दिक्कत,Ralat pelayan tidak dijangka berlaku!,خطأ غير متوقع في الخادم,Erro do servidor!,Kosa la seva lisilotarajiwa!,Неожиданная ошибка сервера,Erreur serveur inattendue!,Hindi inaasahang server error!,เซิร์ฟเวอร์ล้มเหลว!,Server error secara tidak terduga!,अप्रत्यासित सर्भर त्रुटी !,অপ্রত্যাশিতভাবে সার্ভারে কিছু ভুল হয়েছে ,服务器出现意外错误!,伺服器出現意外錯誤!,មានបញ្ហាស៊ើវើមិនបានរំពឹងទុក!
downloading_data_login,Downloading application data..,Dữ liệu ứng dụng đang được tải xuống ..,பயன்பாட்டுத் தரவைப் பதிவிறக்குகிறது,Descargando los datos de la aplicación…,एप्लीकेशन डाटा डाउनलोड हो रहा है..,Memuat turun data aplikasi…,تنزيل بيانات التطبيق,A transferir dados da aplicação…,Inapakua data ..,Загрузка данных приложения.,Téléchargement des données de l\'application ..,Nagda-download ng data ng application ..,กำลังโหลดข้อมูล..,Mengunduh data aplikasi,एप्लिकेसन डाटा डाउनलोड गर्दै...,এপ্লিকেশন ডাটা ডাউনলোড করা হচ্ছে ,下载应用程序数据...,下載應用程式數據...,កំពុងទាញយកទិន្នន័យកម្មវិធី..
<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->,<!-- API Configuration Page -->
cannot_proceed,Cannot proceed without API URL,Không thể tiếp tục nếu không có API URL,API URL இல்லாமல் தொடர முடியாது,No se puede continuar sin URL de la API.,ए पी आई यु आर एल बिना आगे नहीं बढ़ सकते,Tidak boleh teruskan tanpa URL API,API URLلايمكن المعالجة بدون,Não pode continuar sem API URL,Haiwezi kuendelea bila kiungo cha API,Не удается перейти без URL адреса приложения,Impossible de procéder sans l\\\'URL de l\\\'API.,Hindi makatuloy nang walang API URL,ไม่สามารถตำเนินการได้หากไม่มี API URL,Tidak bisa melanjutkan tanpa API URL,एपिआइ युआरएल बिना अगाडी बढ्न सक्दैन,API URL ছাড়া আর অগ্রসর হওয়া সম্ভব হচ্ছে না ,没有 API URL，无法继续操作,沒有 API URL，無法繼續運作,មិនអាចបន្តដោយគ្មាន URL API
provide_api_url,Kindly provide an API URL,Vui lòng cung cấp API URL,தயவுசெய்து ஒரு API URLஐ வழங்கவும்,"Por favor, proporcione una URL de la API.",प्लीज़ अपना ए पी आई यू आर एल दे,Sila masukkan URL API,لطفا زود API URL,"Por favor, forneça um API URL",Tafadhali peana kiungo cha API,Просьба предоставить URL,Veuillez fournir une URL API,Mangyaring magbigay ng API URL,กรุณาใส่ API URL,Mohon berikan API URL,कृपया एउटा एपिआइ युआरएल प्रदान गर्नुहोस्,দয়া করে একটি API URL সরবরাহ করুন ,请提供一个 API URL,請提供一個 API URL,សូមផ្តល់នូវ URL API មួយ
malformed_url,Malformed/Invalid API URL,API URL không đúng định dạng/không hợp lệ,தவறான வடிவம் / தவறான API URL,URL malformada / No válida de la API.,गलत ए पी आई यू आर एल,URL API salah/tidak sah,غير صحيح /غير صالحه API URL,API URL mal formado/inválido,Kiungo cha API ni halali/batili,Недопустимый/ Неверный URL,URL malformée. / Non valide de l\\\'API.,Wala sa ayos/Hindi balidong API URL,API URL ไม่สมบูรณ์/ไม่พบ API URL,API URL salah/tidak valid,विकृत/अवैध एपिआइ युआरएल,ত্রুটিপূর্ণ/অকার্যকর API URL,API 网址格式错误/无效,API 網址格式錯誤/無效,URL API មិនត្រឹមត្រូវ/មោឃៈ
api_configured,API URL configured!,Đã cấu hình API URL!,ஏபிஐ URL கட்டமைக்கப்பட்டது!,URL de la API configurada!,API URL सेट हो गया है,URL API dikonfigurasi!,API URLتكوين,API URL configurado!,Kiungo cha API kimesanidiwa,URL адрес настроен,URL de l\\\'API configurée!,Nai-configure na ang API URL!,ปรับแต่ง API URL เรียบร้อย!,API URL terkonfigurasi!,एपिआइ युआरएल कन्फिगर गरियो !,API URL কনফিগার করা হয়েছে,已配置 API URL！,已配置 API URL！,បានតំឡើង URL API!
invalid_api,"Invalid API URL!
",API URL không hợp lệ,தவறான API URL!,URL de la API no válida!,अमान्य ए पी आई यू आर एल,URL API tidak sah!,غير فعال API URL,API URL inválido!,Kiungo cha API ni halali/batili,Недопустимый URL,URL de l\\\'API non valide!,Hindi balidong API URL!,ไม่พบ API URL,API URL tidak valid!,अवैध अपिआइ युआरएल !,অকার্যকর API URL,API URL 无效！,API URL 無效！,URL API មិនត្រឹមត្រូវ!
<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->,<!-- Settings Icon -->
overflow_settings,Settings,Cài đặt,அமைப்புகள் (செட்டிங்ஸ்),Configuración,सेटिंग्स,Settings,إعدادات,Definições,Mipangilio,Настройки,Paramètres,Mga Setting,การตั้งค่า,Pengaturan,सेटिङ,সেটিংস ,设置,設定,កន្លែងកំណត់
overflow_logout,Logout,Đăng xuất,வெளியேறு,Cerrar cesión,लॉगआउट,Log keluar,خروج,Sair,Kuondoka,Выход,Se déconnecter,Mag-logout,ออกจากระบบ,Log Out,लगआउट,লগ আউট ,退出,退出,ចាកចេញ
<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->,<!--GPS Page -->
gps_settigs_off,GPS not activated,Chưa kích hoạt GPS,GPS செயல்படுத்தப்படவில்லை,GPS no activado,जीपीएस सक्रिय नहीं है,GPS tidak diaktifkan,GPS غير مفعل,GPS não activado,GPS haijaanzishwa,Геолокация не активирована,GPS inactif,Hindi naka-activate ang GPS,GPS ไม่ได้เปิดใช้งาน,GPS Tidak Aktif,जिपिएस सक्रिय छैन,জিপিএস কার্যকর করা হয়নি ,尚未启动 GPS,尚未啟動 GPS,GPSមិនបានដំណើរការទេ
<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->,<!-- Encryption -->
encryption_title,Media Encryption,Mã hóa phương tiện,மீடியா குறியாக்கம்,Cifrar archivo,मीडिया एन्क्रिप्शन,Penyulitan Media,تشفير الوسائط,Encriptação de media,Mfungosiri wa Picha/Sauti/Video,Шифрование медиа,Cryptage des fichiers multimédias,Media Encryption,การเข้ารหัสมีเดีย,Media Enkripsi,मिडिया इन्क्रिपसन,মিডিয়া এনক্রিপশন ,媒体加密,媒體加密,បំលែងទិន្នន័យសម្ងាត់មេឌៀ
encryption_failed,"Failed, will retry!","Không thành công, vui lòng thử lại!","தோல்வி, மீண்டும் முயற்சிக்கும்!","Error, intentando de nuevo!","असफल, पुनः प्रयास होगा","Gagal, akan mencuba lagi!",فشل ، ستتم أعاده المحاوله,"Falhou, vamos tentar de novo!","Imeshindwa, itajaribu tena!",Ошибка! Повторите попытку!,"Echec, nouvelle tentative!","Nabigo, susubukang muli!",ล้มเหลว ลองอีกครั้ง!,"Gagal, akan diulang lagi","असफल भयो, पुनः कोशिश गरिनेछ !","ব্যর্থ, পুনরায় চেষ্টা করা হবে!","失败, 重试!","失敗, 重試!",បរាជ័យ នឹងព្យាយាមម្តងទៀត!
<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->,<!-- Sync -->
save_unsaved_changes_alert,Save your changes?  ,Lưu thay đổi? (Có/Không),உங்கள் மாற்றங்களைச் சேமிக்கவா? (ஆம்/ இல்லை),Guardar cambios,आपके द्वारा किये गए बदलाव लो सेव करें? (जी/नहीं),Simpan perubahan anda?,حفظ التغييرات الخاصة بك؟ (نعم لا),Guardar as alterações? (Sim/Não),Hifadhi mabadiliko yako?,Сохранить изменения?,Enregistrer vos modifications?,I-save ang iyong mga pagbabago?,บันทึกการเปลี่ยนแปลง?  ,Simpan perubahan data anda?,तपाईंको परिवर्तनहरु सेभ गर्ने ?,পরিবর্তন গুলো সেভ করবেন? ,保存更改？,保存變更？,រក្សាទុកការផ្លាស់ប្តូររបស់អ្នក?
sync,Sync to Server,Đồng bộ với máy chủ,சேவையகத்துடன் ஒத்திசை,Sincronizar con el servidor,सर्वर से जुडें,Selaras ke Pelayan,المزامنة إلى الخادم,Sincronizar com o Servidor,Sawazisha na Seva,Синхронизировать с сервером,Synchroniser,I-sync sa Server,ถ่ายโอนไปยังเซิร์ฟเวอร์,Sinkoronisasikan dengan Server,सर्भरसँग सिंक गर्नुहोस्,সার্ভারে সিনক্রোনাইজেশন করুন ,同步到服务器,同步到伺務器,ធ្វើសមកាលកម្មទៅម៉ាស៊ីនស៊ើវើ
syncing_initializing,Initializing..,Đang khởi tạo..,துவக்குகிறது ..,Inicializando..,शुरु हो रहा है ..,Memulakan…,جار تهيئه...,A inicializar…,Inaanzisha…,Инициализация,Initialisation..,Sinisimulan…,ดำเนินการ..,Inisialisasi,सुरुवात गर्दै...,শুরু করা হচ্ছে… ,正在初始化…,正在初始化…,កំពុងចាប់ផ្តើម..
